,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Offense
MT,2003.0,1966.0,1997.0,1964.0,2053.0,2565.0,2634.0,2785.0,2832.0,2827.0,aggravated-assault
MT,3741.0,3480.0,4066.0,4316.0,3609.0,4182.0,4383.0,3975.0,3597.0,3066.0,burglary
MT,21824.0,20737.0,22360.0,21694.0,21416.0,23118.0,23825.0,23273.0,22831.0,19864.0,larceny
MT,1474.0,1317.0,1618.0,1774.0,1872.0,2441.0,2639.0,2593.0,2811.0,2275.0,motor-vehicle-theft
MT,23.0,19.0,22.0,16.0,30.0,38.0,30.0,32.0,32.0,29.0,homicide
MT,337.0,373.0,422.0,421.0,493.0,544.0,576.0,621.0,533.0,585.0,rape
MT,210.0,202.0,279.0,269.0,240.0,274.0,320.0,231.0,322.0,272.0,robbery
MT,173.0,175.0,214.0,149.0,140.0,170.0,178.0,206.0,135.0,125.0,arson
MT,2573.0,2560.0,2720.0,2670.0,2816.0,3421.0,3560.0,3669.0,3719.0,3713.0,violent-crime
MT,27212.0,25709.0,28258.0,27933.0,27037.0,29911.0,31025.0,30047.0,29374.0,25330.0,property-crime
AK,,,,,,,,,,,
AK,,,,,,,,,,,
AK,,,,,,,,,,,
AK,,,,,,,,,,,
AK,,,,,,,,,,,
AK,,,,,,,,,,,
AK,,,,,,,,,,,
AK,,,,,,,,,,,
AK,,,,,,,,,,,
AK,,,,,,,,,,,
VA,9652.0,8800.0,9183.0,9165.0,9516.0,9430.0,10435.0,10065.0,10343.0,11096.0,aggravated-assault
VA,35387.0,35374.0,33965.0,31162.0,26948.0,25071.0,23686.0,22020.0,18273.0,16507.0,burglary
VA,157765.0,153616.0,150575.0,146370.0,140964.0,137807.0,137559.0,134312.0,126048.0,125450.0,larceny
VA,10707.0,9965.0,9208.0,8776.0,7934.0,8524.0,10104.0,10431.0,11101.0,10584.0,motor-vehicle-theft
VA,374.0,303.0,319.0,321.0,346.0,377.0,466.0,457.0,417.0,427.0,homicide
VA,2516.0,2639.0,2508.0,2455.0,2498.0,2576.0,2964.0,3156.0,3171.0,2897.0,rape
VA,7937.0,7799.0,6664.0,6338.0,5986.0,6194.0,6754.0,6039.0,4876.0,4970.0,robbery
VA,1363.0,1326.0,1393.0,1057.0,999.0,1032.0,1041.0,972.0,825.0,788.0,arson
VA,20479.0,19541.0,18674.0,18279.0,18346.0,18577.0,20619.0,19717.0,18807.0,19390.0,violent-crime
VA,205222.0,200281.0,195141.0,187365.0,176845.0,172434.0,172390.0,167735.0,156247.0,153329.0,property-crime
AL,24.0,17.0,25.0,29.0,32.0,52.0,44.0,30.0,19.0,68.0,aggravated-assault
AL,407.0,430.0,406.0,349.0,273.0,317.0,208.0,222.0,172.0,137.0,burglary
AL,1733.0,1691.0,1738.0,2162.0,1928.0,2092.0,896.0,735.0,993.0,1757.0,larceny
AL,110.0,109.0,89.0,108.0,81.0,76.0,81.0,65.0,60.0,102.0,motor-vehicle-theft
AL,1.0,,2.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,homicide
AL,4.0,9.0,16.0,10.0,15.0,23.0,20.0,20.0,19.0,15.0,rape
AL,77.0,56.0,70.0,59.0,67.0,74.0,56.0,47.0,33.0,39.0,robbery
AL,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,5.0,arson
AL,106.0,82.0,113.0,100.0,115.0,152.0,123.0,99.0,73.0,126.0,violent-crime
AL,2252.0,2232.0,2234.0,2620.0,2283.0,2486.0,1187.0,1024.0,1225.0,2001.0,property-crime
AR,10538.0,10311.0,10155.0,9632.0,9968.0,11106.0,11825.0,12170.0,12515.0,12725.0,aggravated-assault
AR,33580.0,35682.0,35141.0,31931.0,25831.0,24251.0,25929.0,23257.0,21105.0,19120.0,burglary
AR,78023.0,85032.0,86167.0,82715.0,76412.0,73320.0,72681.0,68693.0,67447.0,62725.0,larceny
AR,5577.0,5865.0,5948.0,5843.0,5702.0,5959.0,7286.0,7270.0,7364.0,7145.0,motor-vehicle-theft
AR,132.0,159.0,173.0,159.0,165.0,179.0,213.0,250.0,227.0,231.0,homicide
AR,1636.0,1613.0,1597.0,1477.0,1771.0,1936.0,2203.0,2113.0,2290.0,2197.0,rape
AR,2988.0,3090.0,3141.0,2972.0,2694.0,2809.0,2998.0,2592.0,2183.0,2114.0,robbery
AR,719.0,693.0,655.0,593.0,547.0,618.0,657.0,658.0,649.0,520.0,arson
AR,15294.0,15173.0,15066.0,14240.0,14598.0,16030.0,17239.0,17125.0,17215.0,17267.0,violent-crime
AR,117899.0,127272.0,127911.0,121082.0,108492.0,104148.0,106553.0,99878.0,96565.0,89510.0,property-crime
VI,,,,,,,,,,,
VI,,,,,,,,,,,
VI,,,,,,,,,,,
VI,,,,,,,,,,,
VI,,,,,,,,,,,
VI,,,,,,,,,,,
VI,,,,,,,,,,,
VI,,,,,,,,,,,
VI,,,,,,,,,,,
VI,,,,,,,,,,,
NC,,,,,,,,,,22238.0,aggravated-assault
NC,,,,,,,,,,46920.0,burglary
NC,,,,,,,,,,168214.0,larceny
NC,,,,,,,,,,15485.0,motor-vehicle-theft
NC,,,,,,,,,,516.0,homicide
NC,,,,,,,,,,2588.0,rape
NC,,,,,,,,,,9477.0,robbery
NC,,,,,,,,,,1526.0,arson
NC,,,,,,,,,,34819.0,violent-crime
NC,,,,,,,,,,232145.0,property-crime
ND,832.0,1029.0,1078.0,1159.0,1159.0,1195.0,1133.0,1216.0,1297.0,1250.0,aggravated-assault
ND,2125.0,2683.0,2766.0,3258.0,2996.0,3724.0,3733.0,3291.0,3201.0,3010.0,burglary
ND,9343.0,10356.0,11384.0,11754.0,12279.0,13803.0,13309.0,12841.0,11902.0,11622.0,larceny
ND,763.0,911.0,1106.0,1314.0,1510.0,1778.0,1974.0,1727.0,1651.0,1710.0,motor-vehicle-theft
ND,8.0,13.0,14.0,11.0,15.0,17.0,15.0,9.0,15.0,23.0,homicide
ND,259.0,250.0,303.0,306.0,340.0,364.0,333.0,358.0,363.0,405.0,rape
ND,109.0,128.0,149.0,192.0,213.0,226.0,247.0,235.0,219.0,216.0,robbery
ND,71.0,90.0,104.0,100.0,129.0,95.0,98.0,98.0,49.0,125.0,arson
ND,1208.0,1420.0,1544.0,1668.0,1727.0,1802.0,1728.0,1818.0,1894.0,1894.0,violent-crime
ND,12302.0,14040.0,15360.0,16426.0,16914.0,19400.0,19114.0,17957.0,16803.0,16467.0,property-crime
RI,1605.0,1525.0,1634.0,1564.0,1417.0,1523.0,1528.0,1535.0,1369.0,1417.0,aggravated-assault
RI,7080.0,7838.0,6955.0,6627.0,5579.0,4622.0,4299.0,3839.0,3307.0,2769.0,burglary
RI,19826.0,20277.0,19943.0,19137.0,17569.0,15827.0,15122.0,14923.0,14167.0,13487.0,larceny
RI,2465.0,2429.0,2691.0,2294.0,1878.0,1428.0,1157.0,1516.0,1576.0,1397.0,motor-vehicle-theft
RI,29.0,20.0,36.0,31.0,26.0,31.0,29.0,21.0,16.0,25.0,homicide
RI,421.0,438.0,415.0,454.0,366.0,469.0,446.0,454.0,494.0,492.0,rape
RI,998.0,948.0,898.0,863.0,678.0,664.0,669.0,561.0,556.0,509.0,robbery
RI,304.0,228.0,225.0,188.0,191.0,213.0,161.0,148.0,100.0,99.0,arson
RI,3053.0,2931.0,2983.0,2912.0,2487.0,2687.0,2672.0,2571.0,2435.0,2443.0,violent-crime
RI,29675.0,30772.0,29814.0,28246.0,25217.0,22090.0,20739.0,20426.0,19150.0,17752.0,property-crime
NE,416.0,343.0,328.0,373.0,611.0,657.0,813.0,900.0,916.0,958.0,aggravated-assault
NE,2205.0,2473.0,2437.0,2540.0,2321.0,2206.0,2284.0,2752.0,2212.0,2060.0,burglary
NE,10124.0,10369.0,10974.0,10199.0,9786.0,9849.0,10618.0,11969.0,11209.0,10358.0,larceny
NE,660.0,655.0,723.0,661.0,678.0,778.0,968.0,1201.0,1258.0,1271.0,motor-vehicle-theft
NE,9.0,10.0,3.0,4.0,8.0,6.0,4.0,12.0,12.0,13.0,homicide
NE,297.0,273.0,319.0,259.0,295.0,321.0,339.0,462.0,498.0,451.0,rape
