,index,Unnamed: 0,ori,agency_name,agency_type_name,state_name,state_abbr,division_name,region_name,region_desc,county_name,nibrs,latitude,longitude,nibrs_start_date,Cases
188,15390,15390,KS0750600,Havensville Police Department,City,Kansas,KS,West North Central,Midwest,Region II,POTTAWATOMIE,True,39.382187,-96.337113,04/01/2008,
189,15391,15391,KS0230100,Lawrence Police Department,City,Kansas,KS,West North Central,Midwest,Region II,DOUGLAS,False,38.963764,-95.23475,01/01/2000,
190,15392,15392,KS0871000,Clearwater Police Department,City,Kansas,KS,West North Central,Midwest,Region II,SEDGWICK,True,37.681045,-97.461054,01/01/2000,71.0
191,15393,15393,KS0630000,Montgomery County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,MONTGOMERY,True,37.223263,-95.703804,01/01/2000,600.0
192,15394,15394,KS0930300,Macksville Police Department,City,Kansas,KS,West North Central,Midwest,Region II,STAFFORD,True,38.03563,-98.719889,02/01/2001,1.0
193,15395,15395,KS0462300,Westwood Hills Police Department,City,Kansas,KS,West North Central,Midwest,Region II,JOHNSON,True,39.044037,-94.61192,01/01/2000,
194,15396,15396,KS0460000,Johnson County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,JOHNSON,True,38.882427,-94.819466,01/01/2000,1709.0
195,15397,15397,KS0690100,Norton Police Department,City,Kansas,KS,West North Central,Midwest,Region II,NORTON,True,39.783867,-99.899235,01/01/2000,41.0
196,15398,15398,KS0390000,Harper County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,HARPER,False,37.153286,-98.029884,01/01/2000,
197,15399,15399,KS0770100,Atwood Police Department,City,Kansas,KS,West North Central,Midwest,Region II,RAWLINS,True,39.80761,-101.04342,01/01/2001,18.0
198,15400,15400,KS0860100,Scott City Police Department,City,Kansas,KS,West North Central,Midwest,Region II,SCOTT,True,38.48251,-100.90089,01/01/2000,103.0
199,15401,15401,KS0610300,Louisburg Police Department,City,Kansas,KS,West North Central,Midwest,Region II,MIAMI,True,38.620853,-94.68021,01/01/2000,51.0
200,15402,15402,KS0060200,Bronson Police Department,City,Kansas,KS,West North Central,Midwest,Region II,BOURBON,True,37.8561,-94.850928,01/01/2016,
201,15403,15403,KS0081000,Unified School District: Bluestem,Other,Kansas,KS,West North Central,Midwest,Region II,BUTLER,False,37.773649,-96.83884,09/01/2005,
202,15404,15404,KS0440700,Winchester Police Department,City,Kansas,KS,West North Central,Midwest,Region II,JEFFERSON,True,39.239644,-95.375314,01/01/2000,
203,15405,15405,KS0700200,Burlingame Police Department,City,Kansas,KS,West North Central,Midwest,Region II,OSAGE,False,38.753666,-95.83243,08/01/2000,
204,15406,15406,KS0220400,Highland Police Department,City,Kansas,KS,West North Central,Midwest,Region II,DONIPHAN,True,39.788502,-95.147225,01/01/2000,178.0
205,15407,15407,KS0461100,Westwood Police Department,City,Kansas,KS,West North Central,Midwest,Region II,JOHNSON,True,39.044037,-94.61192,01/01/2000,
206,15408,15408,KS0070000,Brown County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,BROWN,True,39.851852,-95.53753,01/01/2000,143.0
207,15409,15409,KS0050400,Claflin Police Department,City,Kansas,KS,West North Central,Midwest,Region II,BARTON,True,38.481239,-98.767837,02/01/2000,4.0
208,15410,15410,KS0891900,Unified School District: Shawnee Heights,Other,Kansas,KS,West North Central,Midwest,Region II,SHAWNEE,True,38.987278,-95.55669,05/01/2011,
209,15411,15411,KS0620100,Beloit Police Department,City,Kansas,KS,West North Central,Midwest,Region II,MITCHELL,True,39.45889,-98.10771,01/01/2000,150.0
210,15412,15412,KS0240000,Edwards County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,EDWARDS,True,37.883595,-99.304746,01/01/2000,25.0
211,15413,15413,KS0150100,Concordia Police Department,City,Kansas,KS,West North Central,Midwest,Region II,CLOUD,True,39.487329,-97.64139,01/01/2000,193.0
212,15415,15415,KS0540000,Linn County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,LINN,True,38.216549,-94.844932,01/01/2000,76.0
213,15416,15416,KS0230200,University of Kansas: Main Campus,University or College,Kansas,KS,West North Central,Midwest,Region II,DOUGLAS,True,38.896573,-95.290529,01/01/2000,266.0
214,15417,15417,KS0750500,Onaga Police Department,City,Kansas,KS,West North Central,Midwest,Region II,POTTAWATOMIE,True,39.382187,-96.337113,02/01/2009,
215,15418,15418,KS0710000,Osborne County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,OSBORNE,True,39.348649,-98.767876,12/01/2000,23.0
216,15419,15419,KS0930000,Stafford County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,STAFFORD,True,38.03563,-98.719889,01/01/2000,
217,15420,15420,KS0871100,Goddard Police Department,City,Kansas,KS,West North Central,Midwest,Region II,SEDGWICK,True,37.681045,-97.461054,01/01/2000,89.0
218,15421,15421,KS0550100,Oakley Police Department,City,Kansas,KS,West North Central,Midwest,Region II,THOMAS; LOGAN,True,39.12648,-100.852615,01/01/2000,
219,15422,15422,KS0850400,Salina Drug Unit,Other,Kansas,KS,West North Central,Midwest,Region II,SALINE,True,38.786327,-97.650153,08/01/2014,
220,15423,15423,KS0760200,Kansas Department of Wildlife and Parks,Other State Agency,Kansas,KS,West North Central,Midwest,Region II,PRATT,True,37.643555,-98.694336,01/01/2000,841.0
221,15424,15424,KS0160000,Coffey County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,COFFEY,False,38.23645,-95.729137,01/01/2000,
222,15425,15425,KS0462200,Mission Woods Police Department,City,Kansas,KS,West North Central,Midwest,Region II,JOHNSON,True,39.044037,-94.61192,01/01/2000,
223,15426,15426,KS0290500,Kansas Racing and Gaming Commisison Boot Hill Casino Enforcement Security Division,Other State Agency,Kansas,KS,West North Central,Midwest,Region II,FORD,True,37.688365,-99.884734,01/01/2016,
224,15427,15427,KS0890700,Auburn Police Department,City,Kansas,KS,West North Central,Midwest,Region II,SHAWNEE,True,39.041805,-95.755664,01/01/2004,
225,15428,15428,KS0770000,Rawlins County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,RAWLINS,True,39.80763,-101.03953,01/01/2000,
226,15429,15429,KS0210300,Chapman Police Department,City,Kansas,KS,West North Central,Midwest,Region II,DICKINSON,True,38.867735,-97.157943,01/01/2000,
227,15430,15430,KS0870000,Sedgwick County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,SEDGWICK,True,37.69478,-97.33957,12/01/2001,748.0
228,15431,15431,KS0610200,Osawatomie Police Department,City,Kansas,KS,West North Central,Midwest,Region II,MIAMI,True,38.566772,-94.832963,01/01/2000,138.0
229,15432,15432,KS0010000,Allen County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,ALLEN,True,37.884228,-95.300945,01/01/2000,307.0
230,15433,15433,KS0190500,Cherokee Police Department,City,Kansas,KS,West North Central,Midwest,Region II,CRAWFORD,True,37.34441,-94.8208,01/01/2000,
231,15434,15434,KS0700300,Carbondale Police Department,City,Kansas,KS,West North Central,Midwest,Region II,OSAGE,True,38.648409,-95.707596,05/01/2001,7.0
232,15435,15435,KS0220100,Elwood Police Department,City,Kansas,KS,West North Central,Midwest,Region II,DONIPHAN,True,39.788502,-95.147225,01/01/2000,
233,15436,15436,KS0461000,Lenexa Police Department,City,Kansas,KS,West North Central,Midwest,Region II,JOHNSON,True,38.971035,-94.73084,01/01/2006,2994.0
234,15438,15438,KS0891800,Washburn University,University or College,Kansas,KS,West North Central,Midwest,Region II,SHAWNEE,True,39.035294,-95.70039,12/01/2004,77.0
235,15439,15439,KS0620000,Mitchell County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,MITCHELL,True,39.393026,-98.207362,01/01/2000,74.0
236,15440,15440,KS0050300,Hoisington Police Department,City,Kansas,KS,West North Central,Midwest,Region II,BARTON,True,38.481239,-98.767837,01/01/2000,75.0
237,15441,15441,KS0400100,Newton Police Department,City,Kansas,KS,West North Central,Midwest,Region II,HARVEY,True,38.051147,-97.34464,01/01/2000,1324.0
238,15442,15442,KS0540300,La Cygne Police Department,City,Kansas,KS,West North Central,Midwest,Region II,LINN,True,38.216549,-94.844932,01/01/2000,
239,15443,15443,KS0440800,Perry Police Department,City,Kansas,KS,West North Central,Midwest,Region II,JEFFERSON,True,39.239644,-95.375314,01/01/2000,7.0
240,15444,15444,KS0060100,Fort Scott Police Department,City,Kansas,KS,West North Central,Midwest,Region II,BOURBON,True,37.823025,-94.7073,01/01/2000,344.0
241,15445,15445,KS0750400,St. George Police Department,City,Kansas,KS,West North Central,Midwest,Region II,POTTAWATOMIE,True,39.382187,-96.337113,02/01/2001,
242,15446,15446,KS0710100,Osborne Police Department,City,Kansas,KS,West North Central,Midwest,Region II,OSBORNE,False,39.348649,-98.767876,09/01/2012,
243,15447,15447,KS0930100,Stafford Police Department,City,Kansas,KS,West North Central,Midwest,Region II,STAFFORD,False,38.03563,-98.719889,01/01/2000,
244,15448,15448,KS0380000,Hamilton County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,HAMILTON,True,37.995244,-101.793689,01/01/2000,93.0
245,15449,15449,KS0550000,Logan County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,LOGAN,True,39.126472,-100.860344,01/01/2000,127.0
246,15450,15450,KS0160100,Burlington Police Department,City,Kansas,KS,West North Central,Midwest,Region II,COFFEY,True,38.189747,-95.73726,01/01/2000,118.0
247,15451,15451,KS0720000,Ottawa County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,OTTAWA,True,39.137963,-97.654802,01/01/2000,
248,15452,15452,KS0760100,Pratt Police Department,City,Kansas,KS,West North Central,Midwest,Region II,PRATT,True,37.647594,-98.74012,01/01/2000,77.0
249,15453,15453,KS0890600,Metropolitan Topeka Airport Authority,Other,Kansas,KS,West North Central,Midwest,Region II,SHAWNEE,True,39.041805,-95.755664,01/01/2000,
250,15454,15454,KS0010100,Humboldt Police Department,City,Kansas,KS,West North Central,Midwest,Region II,ALLEN,True,37.8112,-95.43778,01/01/2000,
251,15455,15455,KS0610100,Paola Police Department,City,Kansas,KS,West North Central,Midwest,Region II,MIAMI,True,38.566772,-94.832963,01/01/2000,222.0
252,15456,15456,KS0190400,Frontenac Police Department,City,Kansas,KS,West North Central,Midwest,Region II,CRAWFORD,True,37.505628,-94.853941,01/01/2000,102.0
253,15457,15457,KS0220200,Troy Police Department,City,Kansas,KS,West North Central,Midwest,Region II,DONIPHAN,True,39.788502,-95.147225,01/01/2000,2.0
254,15458,15458,KS0700400,Lyndon Police Department,City,Kansas,KS,West North Central,Midwest,Region II,OSAGE,True,38.648409,-95.707596,01/01/2000,3.0
255,15459,15459,KS0050200,Great Bend Police Department,City,Kansas,KS,West North Central,Midwest,Region II,BARTON,True,38.36352,-98.76655,01/01/2000,634.0
256,15460,15460,KS0891700,Unified School District: Seaman,Other,Kansas,KS,West North Central,Midwest,Region II,SHAWNEE,True,39.13396,-95.67311,02/01/2008,
257,15461,15461,KS0872400,Unified School District: Goddard,Other,Kansas,KS,West North Central,Midwest,Region II,SEDGWICK,True,37.681045,-97.461054,01/01/2000,
258,15462,15462,KS0870100,Derby Police Department,City,Kansas,KS,West North Central,Midwest,Region II,SEDGWICK,True,37.545734,-97.27021,01/01/2000,497.0
259,15464,15464,KS0540200,Pleasanton Police Department,City,Kansas,KS,West North Central,Midwest,Region II,LINN,True,38.216549,-94.844932,01/01/2000,
260,15465,15465,KS0400000,Harvey County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,HARVEY,True,38.051147,-97.34464,01/01/2000,243.0
261,15466,15466,KS0440900,Ozawkie Police Department,City,Kansas,KS,West North Central,Midwest,Region II,JEFFERSON,True,39.239644,-95.375314,09/01/2017,
262,15467,15467,KS0230000,Douglas County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,DOUGLAS,False,38.963764,-95.23475,01/01/2000,
263,15468,15468,KS0060000,Bourbon County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,BOURBON,True,37.8561,-94.850928,01/01/2000,276.0
264,15469,15469,KS0680000,Ness County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,NESS,True,38.45391,-99.907166,06/01/2003,101.0
265,15470,15470,KS0800100,Lyons Police Department,City,Kansas,KS,West North Central,Midwest,Region II,RICE,True,38.347717,-98.20034,01/01/2000,
266,15471,15471,KS0760000,Pratt County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,PRATT,True,37.643806,-98.736855,01/01/2000,41.0
267,15472,15472,KS0250000,Elk County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,ELK,True,37.456026,-96.244642,01/01/2000,
268,15474,15474,KS0460500,Olathe Police Department,City,Kansas,KS,West North Central,Midwest,Region II,JOHNSON,True,38.86768,-94.82552,04/01/2019,
269,15475,15475,KS0390300,Harper Police Department,City,Kansas,KS,West North Central,Midwest,Region II,HARPER,False,37.188184,-98.06659,01/01/2000,
270,15476,15476,KS0890500,Kansas Alcoholic Beverage Control,Other State Agency,Kansas,KS,West North Central,Midwest,Region II,SHAWNEE,True,39.041805,-95.755664,01/01/2000,191.0
271,15477,15477,KS0590200,Blue Rapids Police Department,City,Kansas,KS,West North Central,Midwest,Region II,MARSHALL,True,39.782709,-96.521243,02/01/2000,
272,15478,15478,KS0330000,Graham County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,GRAHAM,True,39.367893,-99.84189,01/01/2000,
273,15479,15479,KS0720100,Delphos Police Department,City,Kansas,KS,West North Central,Midwest,Region II,OTTAWA,True,39.137963,-97.654802,08/01/2001,
274,15480,15480,KS0871300,Garden Plain Police Department,City,Kansas,KS,West North Central,Midwest,Region II,SEDGWICK,True,37.681045,-97.461054,01/01/2000,5.0
275,15481,15481,KS0430400,Mayetta Police Department,City,Kansas,KS,West North Central,Midwest,Region II,JACKSON,True,39.411145,-95.794485,03/01/2000,
276,15483,15483,KS0170000,Comanche  County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,COMANCHE,True,37.189071,-99.254089,03/01/2004,
277,15484,15484,KS0010200,Iola Police Department,City,Kansas,KS,West North Central,Midwest,Region II,ALLEN,True,37.884228,-95.300945,01/01/2000,430.0
278,15485,15485,KS0440200,Valley Falls Police Department,City,Kansas,KS,West North Central,Midwest,Region II,JEFFERSON,True,39.345028,-95.45757,02/01/2000,
279,15486,15486,KS0190300,Girard Police Department,City,Kansas,KS,West North Central,Midwest,Region II,CRAWFORD,True,37.511604,-94.8417,01/01/2000,
280,15487,15487,KS0610000,Miami County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,MIAMI,True,38.57153,-94.878044,01/01/2000,86.0
281,15488,15488,KS0520100,Leavenworth Police Department,City,Kansas,KS,West North Central,Midwest,Region II,LEAVENWORTH,True,39.314144,-94.91131,01/01/2000,1118.0
282,15489,15489,KS0700500,Overbrook Police Department,City,Kansas,KS,West North Central,Midwest,Region II,OSAGE,True,38.648409,-95.707596,01/01/2000,
283,15490,15490,KS0872500,Bentley Police Department,City,Kansas,KS,West North Central,Midwest,Region II,SEDGWICK,True,37.681045,-97.461054,07/01/2006,
284,15491,15491,KS0480100,Kingman Police Department,City,Kansas,KS,West North Central,Midwest,Region II,KINGMAN,True,37.64223,-98.11175,01/01/2000,88.0
285,15492,15492,KS0050100,Ellinwood Police Department,City,Kansas,KS,West North Central,Midwest,Region II,BARTON,True,38.354626,-98.58336,01/01/2000,35.0
286,15493,15493,KS0870200,Haysville Police Department,City,Kansas,KS,West North Central,Midwest,Region II,SEDGWICK,True,37.56436,-97.353874,01/01/2000,351.0
287,15494,15494,KS0020000,Anderson County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,ANDERSON,True,38.27986,-95.241455,01/01/2000,147.0
288,15496,15496,KS0570600,Marquette Police Department,City,Kansas,KS,West North Central,Midwest,Region II,MCPHERSON,True,38.395812,-97.647489,01/01/2000,
289,15497,15497,KS0580400,Florence Police Department,City,Kansas,KS,West North Central,Midwest,Region II,MARION,False,38.242546,-96.92626,01/01/2000,
290,15498,15498,KS0880000,Seward County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,SEWARD,True,37.042725,-100.921,01/01/2000,144.0
291,15499,15499,KS0750200,Wamego Police Department,City,Kansas,KS,West North Central,Midwest,Region II,POTTAWATOMIE,True,39.382187,-96.337113,01/01/2000,99.0
292,15500,15500,KS0450000,Jewell County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,JEWELL,True,39.787975,-98.209984,01/01/2000,12.0
293,15501,15501,KS0800000,Rice County Sheriff's Office,County,Kansas,KS,West North Central,Midwest,Region II,RICE,True,38.35154,-98.18535,01/01/2000,47.0
