,ori,agency_name,agency_type_name,state_name,state_abbr,division_name,region_name,region_desc,county_name,nibrs,latitude,longitude,nibrs_start_date
114,TX1100400,South Plains College,University or College,Texas,TX,West South Central,South,Region III,HOCKLEY,False,33.578476,-102.3678,
115,TX0430500,McKinney Police Department,City,Texas,TX,West South Central,South,Region III,COLLIN,True,33.194745,-96.579846,04/01/1997
116,TX0140000,Bell County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,BELL,False,31.042303,-97.481374,
117,TX2300300,Ore City Police Department,City,Texas,TX,West South Central,South,Region III,UPSHUR,True,32.735349,-94.941184,01/01/2019
118,TX0910400,Sherman Police Department,City,Texas,TX,West South Central,South,Region III,GRAYSON,True,33.624508,-96.675699,09/01/2019
119,TX0220000,Brewster County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,BREWSTER,True,29.434357,-95.24559,01/01/2015
120,TX1020200,Marshall Police Department,City,Texas,TX,West South Central,South,Region III,HARRISON,False,32.547991,-94.374434,
121,TX0371200,Cuney Police Department,City,Texas,TX,West South Central,South,Region III,CHEROKEE,True,31.843872,-95.156345,01/01/2018
122,TX0310000,Cameron County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,CAMERON,False,26.102923,-97.478958,
123,TX0920200,Gladewater Police Department,City,Texas,TX,West South Central,South,Region III,UPSHUR; GREGG,True,32.531593,-94.94975,10/01/2018
124,TX0540100,Crosbyton Police Department,City,Texas,TX,West South Central,South,Region III,CROSBY,False,33.659977,-101.239655,
125,TX2205100,Independent School District:,Other,Texas,TX,West South Central,South,Region III,TARRANT,True,,,01/01/2019
126,TX1010400,Deer Park Police Department,City,Texas,TX,West South Central,South,Region III,HARRIS,True,29.857273,-95.393037,10/01/2019
127,TX2462400,Liberty Hill,City,Texas,TX,West South Central,South,Region III,WILLIAMSON,False,,,
128,TX1120000,Hopkins County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,HOPKINS,True,33.139645,-95.59928,02/01/2019
129,TX1740000,Nacogdoches County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,NACOGDOCHES,True,31.610912,-94.68126,01/01/2015
130,TX1013900,University of Houston: Clearlake,University or College,Texas,TX,West South Central,South,Region III,HARRIS,False,29.577593,-95.106766,
131,TX0930000,Grimes County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,GRIMES,False,30.543231,-95.988082,
132,TX0141100,Holland Police Department,City,Texas,TX,West South Central,South,Region III,BELL,False,31.042303,-97.481374,
133,TX0701000,Waxahachie Police Department,City,Texas,TX,West South Central,South,Region III,ELLIS,True,32.38487,-96.84779,09/01/2019
134,TX0370100,Jacksonville Police Department,City,Texas,TX,West South Central,South,Region III,CHEROKEE,True,31.843872,-95.156345,06/01/2009
135,TX0200400,Danbury Police Department,City,Texas,TX,West South Central,South,Region III,BRAZORIA,False,29.167817,-95.434647,
136,TX1910000,Randall County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,RANDALL,False,35.119816,-101.86604,
137,TX1750000,Navarro County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,NAVARRO,True,32.09607,-96.46836,01/01/2017
138,TX1590000,Martin County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,MARTIN,True,32.30983,-101.961836,01/01/2019
139,TX2480000,Winkler County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,WINKLER,False,31.831415,-103.055986,01/01/2020
140,TX1011900,South Houston Police Department,City,Texas,TX,West South Central,South,Region III,HARRIS,True,29.857273,-95.393037,05/01/2011
141,TX2204000,Colleyville Police Department,City,Texas,TX,West South Central,South,Region III,TARRANT,True,32.88482,-97.14835,12/01/2019
142,TX1960100,Refugio Police Department,City,Texas,TX,West South Central,South,Region III,REFUGIO,False,28.312716,-97.161366,
143,TX091199E,Austin College,University or College,Texas,TX,West South Central,South,Region III,GRAYSON,False,,,
144,TX0860000,Gillespie County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,GILLESPIE,False,30.250408,-98.847885,
145,TX2080100,Snyder Police Department,City,Texas,TX,West South Central,South,Region III,SCURRY,True,32.744462,-100.913399,01/01/2019
146,TX220750X,Southwestern Baptist Theological Seminary,University or College,Texas,TX,West South Central,South,Region III,TARRANT,True,,,01/01/2019
147,TX1190100,Jacksboro Police Department,City,Texas,TX,West South Central,South,Region III,JACK,False,33.23241,-98.171884,
148,TX0312400,Independent School District: Brownsville,Other,Texas,TX,West South Central,South,Region III,CAMERON,False,25.934692,-97.48412,
149,TX2380000,Ward County Sheriff's Office,County,Texas,TX,West South Central,South,Region III,WARD,True,31.592508,-102.88987,04/01/2018
150,TX0153500,Independent School District: East Central,Other,Texas,TX,West South Central,South,Region III,BEXAR,False,29.448671,-98.520147,
